Date,MWh,weekday,month
2023-08-18,451794,6,8
2023-08-17,479408,5,8
2023-08-16,480007,4,8
2023-08-15,481777,3,8
2023-08-14,487917,2,8
2023-08-13,460411,1,8
2023-08-12,444920,7,8
2023-08-11,457084,6,8
2023-08-10,465105,5,8
2023-08-09,469883,4,8
2023-08-08,472963,3,8
2023-08-07,493552,2,8
2023-08-06,434358,1,8
2023-08-05,437452,7,8
2023-08-04,459470,6,8
2023-08-03,445878,5,8
2023-08-02,427096,4,8
2023-08-01,435324,3,8
2023-07-31,446976,2,7
2023-07-30,414495,1,7
2023-07-29,529835,7,7
2023-07-28,577616,6,7
2023-07-27,567010,5,7
2023-07-26,517627,4,7
2023-07-25,506807,3,7
2023-07-24,506188,2,7
2023-07-23,455533,1,7
2023-07-22,449553,7,7
2023-07-21,502012,6,7
2023-07-20,501495,5,7
2023-07-19,490114,4,7
2023-07-18,526145,3,7
2023-07-17,541307,2,7
2023-07-16,497093,1,7
2023-07-15,507765,7,7
2023-07-14,518623,6,7
2023-07-13,547632,5,7
2023-07-12,532334,4,7
2023-07-11,502830,3,7
2023-07-10,496838,2,7
2023-07-09,475684,1,7
2023-07-08,494545,7,7
2023-07-07,543441,6,7
2023-07-06,563299,5,7
2023-07-05,536105,4,7
2023-07-04,471224,3,7
2023-07-03,497472,2,7
2023-07-02,451059,1,7
2023-07-01,439545,7,7
2023-06-30,460167,6,6
2023-06-29,442343,5,6
2023-06-28,447233,4,6
2023-06-27,450807,3,6
2023-06-26,469876,2,6
2023-06-25,436926,1,6
2023-06-24,415226,7,6
2023-06-23,419329,6,6
2023-06-22,397641,5,6
2023-06-21,403538,4,6
2023-06-20,419516,3,6
2023-06-19,407913,2,6
2023-06-18,362553,1,6
2023-06-17,358573,7,6
2023-06-16,399818,6,6
2023-06-15,393562,5,6
2023-06-14,398769,4,6
2023-06-13,403232,3,6
2023-06-12,417727,2,6
2023-06-11,368404,1,6
2023-06-10,345925,7,6
2023-06-09,365957,6,6
2023-06-08,368385,5,6
2023-06-07,364924,4,6
2023-06-06,373060,3,6
2023-06-05,362634,2,6
2023-06-04,323676,1,6
2023-06-03,368122,7,6
2023-06-02,448046,6,6
2023-06-01,421942,5,6
2023-05-31,389761,4,5
2023-05-30,373798,3,5
2023-05-29,346952,2,5
2023-05-28,331256,1,5
2023-05-27,327519,7,5
2023-05-26,344498,6,5
2023-05-25,344406,5,5
2023-05-24,359851,4,5
2023-05-23,355234,3,5
2023-05-22,357179,2,5
2023-05-21,321377,1,5
2023-05-20,340257,7,5
2023-05-19,347304,6,5
2023-05-18,341869,5,5
2023-05-17,349076,4,5
2023-05-16,365366,3,5
2023-05-15,353202,2,5
2023-05-14,321480,1,5
2023-05-13,361318,7,5
2023-05-12,382667,6,5
2023-05-11,357481,5,5
2023-05-10,343723,4,5
2023-05-09,343182,3,5
2023-05-08,351217,2,5
2023-05-07,319256,1,5
2023-05-06,317453,7,5
2023-05-05,347953,6,5
2023-05-04,364282,5,5
2023-05-03,362991,4,5
2023-05-02,362066,3,5
2023-05-01,354241,2,5
2023-04-30,343546,1,4
2023-04-29,347414,7,4
2023-04-28,354173,6,4
2023-04-27,353480,5,4
2023-04-26,356268,4,4
2023-04-25,357574,3,4
2023-04-24,353181,2,4
2023-04-23,329118,1,4
2023-04-22,325093,7,4
2023-04-21,340097,6,4
2023-04-20,348058,5,4
2023-04-19,359758,4,4
2023-04-18,358331,3,4
2023-04-17,354728,2,4
2023-04-16,330423,1,4
2023-04-15,345826,7,4
2023-04-14,384186,6,4
2023-04-13,370935,5,4
2023-04-12,348633,4,4
2023-04-11,346981,3,4
2023-04-10,344926,2,4
2023-04-09,318693,1,4
2023-04-08,333294,7,4
2023-04-07,348795,6,4
2023-04-06,358342,5,4
2023-04-05,369020,4,4
2023-04-04,358409,3,4
2023-04-03,363987,2,4
2023-04-02,335164,1,4
2023-04-01,340462,7,4
2023-03-31,392488,6,3
2023-03-30,383436,5,3
2023-03-29,371904,4,3
2023-03-28,380407,3,3
2023-03-27,378230,2,3
2023-03-26,336512,1,3
2023-03-25,378027,7,3
2023-03-24,370607,6,3
2023-03-23,379278,5,3
2023-03-22,371501,4,3
2023-03-21,372953,3,3
2023-03-20,385241,2,3
2023-03-19,375771,1,3
2023-03-18,357175,7,3
2023-03-17,387887,6,3
2023-03-16,392506,5,3
2023-03-15,408274,4,3
2023-03-14,423648,3,3
2023-03-13,409925,2,3
2023-03-12,359761,1,3
2023-03-11,390735,7,3
2023-03-10,407218,6,3
2023-03-09,401725,5,3
2023-03-08,409802,4,3
2023-03-07,399747,3,3
2023-03-06,391012,2,3
2023-03-05,370237,1,3
2023-03-04,387061,7,3
2023-03-03,401773,6,3
2023-03-02,405127,5,3
2023-03-01,412869,4,3
2023-02-28,431938,3,2
2023-02-27,411799,2,2
2023-02-26,399977,1,2
2023-02-25,428564,7,2
2023-02-24,413590,6,2
2023-02-23,417667,5,2
2023-02-22,414043,4,2
2023-02-21,400505,3,2
2023-02-20,375218,2,2
2023-02-19,371472,1,2
2023-02-18,380315,7,2
2023-02-17,399012,6,2
2023-02-16,379026,5,2
2023-02-15,373676,4,2
2023-02-14,380814,3,2
2023-02-13,388023,2,2
2023-02-12,375690,1,2
2023-02-11,379637,7,2
2023-02-10,392227,6,2
2023-02-09,417733,5,2
2023-02-08,402113,4,2
2023-02-07,427017,3,2
2023-02-06,423255,2,2
2023-02-05,416754,1,2
2023-02-04,484021,7,2
2023-02-03,474073,6,2
2023-02-02,434689,5,2
2023-02-01,439322,4,2
2023-01-31,432008,3,1
2023-01-30,412378,2,1
2023-01-29,386965,1,1
2023-01-28,385163,7,1
2023-01-27,421747,6,1
2023-01-26,422036,5,1
2023-01-25,433224,4,1
2023-01-24,425993,3,1
2023-01-23,430239,2,1
2023-01-22,396379,1,1
2023-01-21,401239,7,1
2023-01-20,413040,6,1
2023-01-19,421151,5,1
2023-01-18,409281,4,1
2023-01-17,428337,3,1
2023-01-16,424077,2,1
2023-01-15,411256,1,1
2023-01-14,418622,7,1
2023-01-13,411605,6,1
2023-01-12,422209,5,1
2023-01-11,427479,4,1
2023-01-10,427763,3,1
2023-01-09,419995,2,1
2023-01-08,394021,1,1
2023-01-07,392144,7,1
2023-01-06,404341,6,1
2023-01-05,395100,5,1
2023-01-04,392449,4,1
2023-01-03,404670,3,1
2023-01-02,377848,2,1
