,period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
222,2024-08-28,NY,New York,D,Demand,Eastern,Eastern,539447,megawatthours
223,2024-08-27,NY,New York,D,Demand,Eastern,Eastern,487564,megawatthours
224,2024-08-26,NY,New York,D,Demand,Eastern,Eastern,475589,megawatthours
225,2024-08-25,NY,New York,D,Demand,Eastern,Eastern,425264,megawatthours
226,2024-08-24,NY,New York,D,Demand,Eastern,Eastern,405102,megawatthours
227,2024-08-23,NY,New York,D,Demand,Eastern,Eastern,407431,megawatthours
228,2024-08-22,NY,New York,D,Demand,Eastern,Eastern,389306,megawatthours
229,2024-08-21,NY,New York,D,Demand,Eastern,Eastern,382126,megawatthours
230,2024-08-20,NY,New York,D,Demand,Eastern,Eastern,401830,megawatthours
231,2024-08-19,NY,New York,D,Demand,Eastern,Eastern,477779,megawatthours
232,2024-08-18,NY,New York,D,Demand,Eastern,Eastern,454911,megawatthours
233,2024-08-17,NY,New York,D,Demand,Eastern,Eastern,462051,megawatthours
234,2024-08-16,NY,New York,D,Demand,Eastern,Eastern,492956,megawatthours
235,2024-08-15,NY,New York,D,Demand,Eastern,Eastern,480985,megawatthours
236,2024-08-14,NY,New York,D,Demand,Eastern,Eastern,465624,megawatthours
237,2024-08-13,NY,New York,D,Demand,Eastern,Eastern,436644,megawatthours
238,2024-08-12,NY,New York,D,Demand,Eastern,Eastern,436269,megawatthours
239,2024-08-11,NY,New York,D,Demand,Eastern,Eastern,421810,megawatthours
240,2024-08-10,NY,New York,D,Demand,Eastern,Eastern,459300,megawatthours
241,2024-08-09,NY,New York,D,Demand,Eastern,Eastern,498953,megawatthours
242,2024-08-08,NY,New York,D,Demand,Eastern,Eastern,437163,megawatthours
243,2024-08-07,NY,New York,D,Demand,Eastern,Eastern,448992,megawatthours
244,2024-08-06,NY,New York,D,Demand,Eastern,Eastern,537462,megawatthours
245,2024-08-05,NY,New York,D,Demand,Eastern,Eastern,544649,megawatthours
246,2024-08-04,NY,New York,D,Demand,Eastern,Eastern,501763,megawatthours
247,2024-08-03,NY,New York,D,Demand,Eastern,Eastern,536896,megawatthours
248,2024-08-02,NY,New York,D,Demand,Eastern,Eastern,580016,megawatthours
249,2024-08-01,NY,New York,D,Demand,Eastern,Eastern,578337,megawatthours
250,2024-07-31,NY,New York,D,Demand,Eastern,Eastern,565967,megawatthours
251,2024-07-30,NY,New York,D,Demand,Eastern,Eastern,549083,megawatthours
252,2024-07-29,NY,New York,D,Demand,Eastern,Eastern,512723,megawatthours
253,2024-07-28,NY,New York,D,Demand,Eastern,Eastern,457041,megawatthours
254,2024-07-27,NY,New York,D,Demand,Eastern,Eastern,446802,megawatthours
