Date,MWh,Min_temp,Max_temp,Avg_temp
2021-01-21,440899,-0.6,5.3,2.35
2021-01-22,425015,2.4,6.7,4.55
2021-01-23,423179,-2.4,-0.3,-1.3499999999999999
2021-01-24,426810,-3.2,0.1,-1.55
2021-01-25,446285,-1.6,3.4,0.8999999999999999
2021-01-26,449777,-0.2,1.3,0.55
2021-01-27,443123,1.1,4.2,2.6500000000000004
2021-01-28,457481,-2.8,0.0,-1.4
2021-01-29,481893,-6.9,-4.1,-5.5
2021-01-30,452002,-5.3,0.8,-2.25
2021-01-31,451538,-5.4,-2.9,-4.15
2021-02-01,464642,-1.8,0.5,-0.65
2021-02-02,454581,-0.2,1.3,0.55
2021-02-03,451157,-0.6,1.3,0.35000000000000003
2021-02-04,435958,-1.1,3.3,1.0999999999999999
2021-02-05,427449,1.3,4.9,3.1
2021-02-06,406996,-0.6,4.0,1.7
2021-02-07,425338,-1.9,-0.0,-0.95
2021-02-08,460103,-7.2,-3.6,-5.4
2021-02-09,461958,-4.2,0.8,-1.7000000000000002
2021-02-10,451682,-4.1,0.0,-2.05
2021-02-11,455649,-3.0,0.2,-1.4
2021-02-12,462071,-6.3,-2.8,-4.55
2021-02-13,441065,-4.8,-2.8,-3.8
2021-02-14,420995,-0.9,2.3,0.7
2021-02-15,438248,-1.0,0.4,-0.3
2021-02-16,431607,4.5,8.4,6.45
2021-02-17,444978,-4.3,-1.3,-2.8
2021-02-18,461188,-3.9,-2.6,-3.25
2021-02-19,452039,-1.8,-0.6,-1.2
2021-02-20,422977,-2.3,-0.1,-1.2
2021-02-21,413940,-4.6,0.4,-2.0999999999999996
2021-02-22,446062,-1.3,2.4,0.5499999999999999
2021-02-23,429113,2.2,5.7,3.95
2021-02-24,405350,4.4,11.0,7.7
2021-02-25,404842,4.8,8.0,6.4
2021-02-26,406528,1.2,6.1,3.65
2021-02-27,389255,5.8,11.8,8.8
2021-02-28,381413,4.3,7.8,6.05
2021-03-01,414947,5.5,8.9,7.2
2021-03-02,437235,-3.4,0.1,-1.65
2021-03-03,410133,3.0,10.6,6.8
2021-03-04,413658,1.9,5.7,3.8
2021-03-05,428893,-2.4,2.1,-0.1499999999999999
2021-03-06,412873,-1.4,1.4,0.0
2021-03-07,393435,-1.0,4.4,1.7000000000000002
2021-03-08,420040,-0.7,6.0,2.65
2021-03-09,390131,7.6,16.0,11.8
2021-03-10,381957,4.5,10.4,7.45
2021-03-11,372488,10.8,20.0,15.4
2021-03-12,363170,13.6,18.7,16.15
2021-03-13,361434,4.4,9.5,6.95
2021-03-14,352123,4.7,10.1,7.4
2021-03-15,422442,-1.6,2.8,0.5999999999999999
2021-03-16,432976,-0.6,2.4,0.8999999999999999
2021-03-17,406417,3.8,7.8,5.8
2021-03-18,410431,5.8,7.5,6.65
2021-03-19,403090,1.8,5.6,3.6999999999999997
2021-03-20,365911,3.4,12.6,8.0
2021-03-21,346588,5.7,15.0,10.35
2021-03-22,364768,6.1,13.1,9.6
2021-03-23,360592,7.7,16.1,11.9
2021-03-24,370445,9.0,13.1,11.05
2021-03-25,356242,11.9,19.5,15.7
2021-03-26,357933,16.3,25.6,20.950000000000003
2021-03-27,330055,11.7,17.6,14.65
2021-03-28,343406,11.9,19.0,15.45
2021-03-29,366955,8.1,11.5,9.8
2021-03-30,358829,7.4,12.5,9.95
2021-03-31,366803,11.9,16.7,14.3
2021-04-01,378817,7.4,11.1,9.25
2021-04-02,382735,0.8,3.5,2.15
2021-04-03,352411,3.9,10.9,7.4
2021-04-04,329017,9.3,15.8,12.55
2021-04-05,352706,11.6,18.1,14.850000000000001
2021-04-06,351856,11.1,18.3,14.7
2021-04-07,349595,11.9,19.9,15.899999999999999
2021-04-08,347105,11.5,17.8,14.65
2021-04-09,348447,8.7,12.2,10.45
2021-04-10,324769,11.9,16.4,14.149999999999999
2021-04-11,331019,11.9,14.6,13.25
2021-04-12,368415,7.9,9.0,8.45
2021-04-13,355382,10.8,18.4,14.6
2021-04-14,351319,12.7,20.0,16.35
2021-04-15,371205,10.8,12.9,11.850000000000001
2021-04-16,373125,7.7,12.2,9.95
2021-04-17,341334,8.5,12.0,10.25
2021-04-18,325231,10.5,15.4,12.95
2021-04-19,350865,11.3,16.9,14.1
2021-04-20,357950,14.2,21.5,17.85
2021-04-21,373686,11.8,18.2,15.0
2021-04-22,382974,4.8,8.1,6.449999999999999
2021-04-23,360100,9.0,15.5,12.25
2021-04-24,324378,12.9,20.0,16.45
2021-04-25,329845,11.9,16.6,14.25
2021-04-26,354532,9.1,13.9,11.5
2021-04-27,355317,9.6,14.5,12.05
2021-04-28,357300,16.6,27.0,21.8
2021-04-29,369526,17.8,22.8,20.3
2021-04-30,359708,15.8,19.5,17.65
2021-05-01,326083,10.8,17.4,14.1
2021-05-02,324709,18.2,26.2,22.2
